MiePlot v4.6.18

Date & Time: 28.04.2021 23:09:49

Calculation Method:         Mie (plane wave)

Graph type: Intensity v. scattering angle

Radius = 10 um

Sun

Wavelength = 0.65 um

Angle	Wavelength	Perpendicular	Parallel
 0 	 0.433333327372869 	 1.2561551161401E-09 	 1.2561551161401E-09
 0 	 0.53999999165535 	 6.19380311686279E-10 	 6.19380311686279E-10
 0 	 0.646666655937831 	 2.33360780975374E-10 	 2.33360780975374E-10
 0.1 	 0.433333327372869 	 1.24014847130023E-09 	 1.24014479013057E-09
 0.1 	 0.53999999165535 	 6.142880348693E-10 	 6.14286201278906E-10
 0.1 	 0.646666655937831 	 2.32021506889184E-10 	 2.32020811853381E-10
 0.2 	 0.433333327372869 	 1.19317250218924E-09 	 1.19315833661696E-09
 0.2 	 0.53999999165535 	 5.99225864426347E-10 	 5.99218710246942E-10
 0.2 	 0.646666655937831 	 2.28043131915633E-10 	 2.28040399520633E-10
 0.3 	 0.433333327372869 	 1.11826132074468E-09 	 1.11823145410256E-09
 0.3 	 0.53999999165535 	 5.7482477080389E-10 	 5.7480933064329E-10
 0.3 	 0.646666655937831 	 2.21542326398941E-10 	 2.21536354055226E-10
 0.4 	 0.433333327372869 	 1.02015705248468E-09 	 1.02010862568826E-09
 0.4 	 0.53999999165535 	 5.42093972728069E-10 	 5.42068089543566E-10
 0.4 	 0.646666655937831 	 2.12708056076886E-10 	 2.12697862659626E-10
 0.5 	 0.433333327372869 	 9.04875545799847E-10 	 9.04808450775899E-10
 0.5 	 0.53999999165535 	 5.02360640194304E-10 	 5.02323167775484E-10
 0.5 	 0.646666655937831 	 2.01793653702254E-10 	 2.0177854509239E-10
 0.6 	 0.433333327372869 	 7.79168890053438E-10 	 7.79085729528906E-10
 0.6 	 0.53999999165535 	 4.5719179321097E-10 	 4.57142694274616E-10
 0.6 	 0.646666655937831 	 1.89106298843598E-10 	 1.89085912617693E-10
